Name,Whole disk,Partition,File,Swap space,Hibernation file
Aloaha Secure Stick,No,No,Yes,No,No
ArchiCrypt Live,Yes (except for the boot volume),Yes,Yes,No,No
BestCrypt,Yes,Yes,Yes,Yes,Yes[113]
BitArmor DataControl,No,Yes,No,Yes,Yes
BitLocker,Yes (except for the boot volume),Yes,Yes[114],Yes (parent volume is encrypted),Yes (parent volume is encrypted)
Bloombase Keyparc,Yes,Yes,Yes,Yes,No
CenterTools DriveLock,Yes,Yes,Yes,Yes,Yes
CGD,Yes,Yes,Yes[69],Yes,No
Check Point Full Disk Encryption,Yes,Yes,Yes,Yes,Yes
CipherShed,Yes,Yes,Yes,Yes,only on Windows
CrossCrypt,No,No,Yes,No,No
CryFS,No,No,No,No,No
CryptArchiver,No,No,Yes,No,No
Cryhod,No,Yes,No,Yes,Yes (parent volume is encrypted)
Cryptoloop,Yes,Yes,Yes,Yes,No
Cryptomill,Yes,N/A,Yes,N/A,N/A
CryptoPro Secure Disk Enterprise,Yes,Yes,Yes (add-on Secure Device),Yes,Yes
CryptoPro Secure Disk for BitLocker,Yes,Yes,Yes,Yes,Yes
DiskCryptor,Yes,Yes,No,Yes,Yes
Disk Protect,Yes,No,No,Yes,Yes
Dm-crypt / LUKS,Yes,Yes,Yes[115],Yes,Yes[116]
DriveCrypt,Yes,Yes[81],Yes[81],Yes,Yes
DriveSentry GoAnywhere 2,No,Yes,Yes,No,No
E4M,No,Yes,Yes,No,No
e-Capsule Private Safe,No,No,Yes[117],No,No
eCryptfs,No,No,Yes,No,No
EgoSecure HDD Encryption,Yes,Yes,Yes,Yes,Yes
FileVault,No,No,Yes[85],Yes[118][85],Yes[118][119]
FileVault 2,Yes[120],Yes[86],No,Yes,Yes
FinalCrypt,No,No,No,No,No
FREE CompuSec,Yes,No,Yes,Yes,Yes
FreeOTFE,Yes (except for the boot volume),Yes,Yes,No,No
GBDE,Yes,Yes,Yes[121],Yes,No
GELI,Yes,Yes,Yes[121],Yes,No
Loop-AES,Yes,Yes[92],Yes[92],Yes[92],Yes[92]
McAfee Drive Encryption (SafeBoot),Yes,Yes,Yes,Yes,Yes[122]
n-Crypt Pro,Yes,Yes,Yes,No,No
PGPDisk,Yes,Yes,Yes,Yes,only on Windows
Private Disk,No,No,Yes,No,No
ProxyCrypt,Yes,Yes,Yes,No,No
R-Crypto,No,No,Yes,No,No
SafeGuard Easy,Yes,Yes,extra module,Yes,Each sector on disk is encrypted
SafeGuard Enterprise,Yes,Yes,Yes,Yes,Each sector on disk is encrypted
SafeGuard PrivateDisk,No,No,Yes,No,No
SafeHouse Professional,No,No,Yes,No,No
Scramdisk,No,Yes,Yes,No,No
Scramdisk 4 Linux,Yes,Yes,Yes,Yes,No
SecuBox,No,No,Yes,N/A,No
SecureDoc,Yes[101],Yes,Yes,Yes,Yes
Sentry 2020,No,No,Yes,No,No
Softraid / RAID C,Yes,Yes,No,Yes (encrypted by default in OpenBSD)[123],No
Svnd / Vnconfig,?,Yes,Yes,Yes (encrypted by default in OpenBSD),?
SpyProof!,No,Yes,Yes,No,No
Symantec Endpoint Encryption,Yes,Yes,Yes,Yes,Yes
Trend Micro Endpoint Encryption,Yes,Yes,Yes,Yes,Yes
TrueCrypt,Yes[124],Yes,Yes,Yes,only on Windows[106]
VeraCrypt,Yes,Yes,Yes,Yes,only on Windows[106]
CyberSafe Top Secret,No,Yes,Yes,No,No
Name,Whole disk,Partition,File,Swap space,Hibernation file
