+'Passive Voice of Being',[empty],English,Esperanto,Novial
Infinitive,(to) be absorbed,est-i absorb-at-a(j),es absorba-t,[added]
Simple present,is (am  are) absorbed,est-as absorb-at-a(j),es absorba-t,[added]
Future,will (shall) be absorbed,est-os absorb-at-a(j),sal es absorba-t,[added]
Simple past,was absorbed,est-is absorb-at-a(j),did es (es-ed) absorba-t,[added]
Past perfect,have (has) been absorbed,est-as absorb-it-a(j),ha es absorba-t,[added]
Pluperfect,had been absorbed,est-is absorb-it-a(j),ha-d es absorba-t,[added]
Future perfect,will (shall) have been absorbed,est-os absorb-it-a(j),sal ha es absorba-t,[added]
Future in the past,was going to (would  should) be absorbed,est-is absorb-ot-a(j),sal-ed es absorba-t,[added]
Conditional,would (should) be absorbed,est-us absorb-at-a(j),vud es absorba-t,[added]
Conditional perfect,would (should) have been <br />absorbed,est-us absorb-it-a(j),vud ha es absorba-t,[added]
First imperative,let us be absorbed!,ni est-u absorb-ataj!,let nus es absorba-t!,[added]
Second imperative,be absorbed!,est-u absorb-at-a(j)!,es absorba-t!,[added]
Third imperative,let him be absorbed!,li est-u absorb-at-a!,let lo es absorba-t!,[added]
